libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Using CUDA device: NVIDIA RTX PRO 5000 Blackwell
GPU hybrid 2D Euler Config 3: nx=512, ny=512, adaptive CFL=0.05, tfinal=0.85, device=0
step= 28750, time=0.593472, dt=1.79267e-05, chunk=40.98 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 29000, time=0.597948, dt=1.81570e-05, chunk=40.97 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 29250, time=0.602474, dt=1.83266e-05, chunk=40.97 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 29500, time=0.607067, dt=1.85854e-05, chunk=40.97 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 29750, time=0.611676, dt=1.83539e-05, chunk=40.99 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 30000, time=0.616259, dt=1.81924e-05, chunk=40.99 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 30250, time=0.620803, dt=1.79766e-05, chunk=40.99 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 30500, time=0.625296, dt=1.80456e-05, chunk=40.99 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 30750, time=0.629791, dt=1.78339e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 31000, time=0.634198, dt=1.74585e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 31250, time=0.638461, dt=1.68875e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 31500, time=0.642696, dt=1.69735e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 31750, time=0.646959, dt=1.71068e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 32000, time=0.651203, dt=1.69008e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 32250, time=0.655407, dt=1.68996e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 32500, time=0.659591, dt=1.68040e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 32750, time=0.663760, dt=1.55229e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 33000, time=0.667354, dt=1.33207e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 33250, time=0.670513, dt=1.22754e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 33500, time=0.673559, dt=1.22582e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 33750, time=0.676620, dt=1.23552e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 34000, time=0.679812, dt=1.33242e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 34250, time=0.683396, dt=1.55268e-05, chunk=41.03 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 34500, time=0.687610, dt=1.81122e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 34750, time=0.692253, dt=1.86143e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 35000, time=0.696879, dt=1.83085e-05, chunk=41.00 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 35250, time=0.701490, dt=1.86596e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 35500, time=0.706155, dt=1.86174e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 35750, time=0.710811, dt=1.87093e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 36000, time=0.715479, dt=1.86393e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 36250, time=0.720168, dt=1.88701e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
